"game","title"
"http://dbpedia.org/resource/Abalone_(board_game)","Abalone"
"http://dbpedia.org/resource/Ars_Magica","Ars Magica"
"http://dbpedia.org/resource/Fanorona","Fanorona"
"http://dbpedia.org/resource/Fighting_Fantasy","Fighting Fantasy"
"http://dbpedia.org/resource/Greyhawk","Greyhawk"
"http://dbpedia.org/resource/Kill_Doctor_Lucky","Kill Doctor Lucky"
"http://dbpedia.org/resource/Mystara","Mystara"
"http://dbpedia.org/resource/Planescape","Planescape"
"http://dbpedia.org/resource/Ravenloft","Ravenloft"
"http://dbpedia.org/resource/Risk_(game)","Risk"
"http://dbpedia.org/resource/Rolemaster","Rolemaster"
"http://dbpedia.org/resource/Snakes_and_Ladders","Snakes and Ladders"
"http://dbpedia.org/resource/Spelljammer","Spelljammer"
"http://dbpedia.org/resource/Stratego","Stratego"
"http://dbpedia.org/resource/Superworld","Superworld"
"http://dbpedia.org/resource/TWERPS","TWERPS"
"http://dbpedia.org/resource/The_Fantasy_Trip","The Fantasy Trip"
"http://dbpedia.org/resource/Tic-tac-toe","Tic-tac-toe"
"http://dbpedia.org/resource/Traveller_(role-playing_game)","Traveller"
"http://dbpedia.org/resource/Tunnels_&_Trolls","Tunnels & Trolls"
"http://dbpedia.org/resource/Twilight_2000","Twilight 2000"
"http://dbpedia.org/resource/Villains_and_Vigilantes","Villains and Vigilantes"
"http://dbpedia.org/resource/Xiangqi","Xiangqi"
"http://dbpedia.org/resource/Aggravation_(board_game)","Aggravation"
"http://dbpedia.org/resource/Patterns_II","Patterns II"
"http://dbpedia.org/resource/Blue_Planet_(role-playing_game)","Blue Planet"
"http://dbpedia.org/resource/Bonkers!_(game)","Bonkers!"
"http://dbpedia.org/resource/Diana:_Warrior_Princess","Diana: Warrior Princess"
"http://dbpedia.org/resource/Ex_Machina_(role-playing_game)","Ex Machina"
"http://dbpedia.org/resource/Feng_Shui_(role-playing_game)","Feng Shui"
"http://dbpedia.org/resource/Fiasco_(role-playing_game)","Fiasco"
"http://dbpedia.org/resource/Geist:_The_Sin-Eaters","Geist: The Sin-Eaters"
"http://dbpedia.org/resource/Guillotine_(game)","Guillotine"
"http://dbpedia.org/resource/Havic:_The_Bothering","Havic: The Bothering"
"http://dbpedia.org/resource/High_Adventure_Role_Playing","High Adventure Role Playing"
"http://dbpedia.org/resource/OSRIC","OSRIC - Old School Reference and Index Compilation"
"http://dbpedia.org/resource/PUMMEL","PUMMEL! Miniatures Rules System"
"http://dbpedia.org/resource/Spirit_of_the_Century","FATE"
"http://dbpedia.org/resource/Star_Wreck_Roleplaying_Game","Star Wreck Roleplaying Game"
"http://dbpedia.org/resource/Tiddlywinks","Tiddlywinks"
"http://dbpedia.org/resource/World_Tree_(role-playing_game)","World Tree"
"http://dbpedia.org/resource/Bezzerwizzer","Bezzerwizzer"
"http://dbpedia.org/resource/Conflict_of_Heroes","Conflict of Heroes"
"http://dbpedia.org/resource/Conflict_of_Heroes:_Awakening_the_Bear!","Conflict of Heroes: Awakening the Bear!"
"http://dbpedia.org/resource/CthulhuTech","Cthulhutech"
"http://dbpedia.org/resource/Dark_Sun","Dark Sun"
"http://dbpedia.org/resource/Dead_Reign","Dead Reign"
"http://dbpedia.org/resource/Eclipse_Phase","Eclipse Phase"
"http://dbpedia.org/resource/Jungle_Speed","Jungle Speed 5"
