person,model
http://example.org/person_83,BMW
http://xmlns.com/foaf/0.1/person_875,Audi
http://xmlns.com/foaf/0.1/person_875,Lincoln
http://example.org/person_670,Nissan
http://xmlns.com/foaf/0.1/person_488,Kia
http://xmlns.com/foaf/0.1/person_488,Ford
http://xmlns.com/foaf/0.1/person_758,Kia
http://xmlns.com/foaf/0.1/person_758,Subaru
http://xmlns.com/foaf/0.1/person_228,Lincoln
http://xmlns.com/foaf/0.1/person_228,Maserati
http://xmlns.com/foaf/0.1/person_379,Ford
http://xmlns.com/foaf/0.1/person_382,Pontiac
http://example.org/person_852,Chevrolet
http://example.org/person_852,Kia
http://example.org/person_168,BMW
http://example.org/person_168,Nissan
http://example.org/person_202,Honda
http://example.org/person_928,Toyota
http://example.org/person_928,Hyundai
http://example.org/person_955,Oldsmobile
http://example.org/person_868,Chevrolet
http://example.org/person_195,Chrysler
http://example.org/person_81,Land Rover
http://xmlns.com/foaf/0.1/person_732,Suzuki
http://xmlns.com/foaf/0.1/person_732,Pontiac
http://xmlns.com/foaf/0.1/person_770,Ford
http://xmlns.com/foaf/0.1/person_770,Nissan
http://xmlns.com/foaf/0.1/person_353,Mitsubishi
http://example.org/person_785,Mitsubishi
http://xmlns.com/foaf/0.1/person_623,Honda
http://xmlns.com/foaf/0.1/person_930,Nissan
http://xmlns.com/foaf/0.1/person_930,Mitsubishi
http://xmlns.com/foaf/0.1/person_742,BMW
http://xmlns.com/foaf/0.1/person_742,Lamborghini
http://example.org/person_278,Cadillac
http://example.org/person_278,Audi
http://example.org/person_783,Nissan
http://example.org/person_527,Buick
http://example.org/person_527,Suzuki
http://example.org/person_719,Mitsubishi
http://example.org/person_776,Jaguar
http://example.org/person_30,Buick
http://xmlns.com/foaf/0.1/person_865,Chevrolet
http://example.org/person_369,Pontiac
http://xmlns.com/foaf/0.1/person_712,Subaru
http://example.org/person_339,Ford
http://example.org/person_339,Daihatsu
http://example.org/person_844,Ford
http://example.org/person_844,Maserati
http://example.org/person_396,Buick
http://example.org/person_396,Mitsubishi
http://xmlns.com/foaf/0.1/person_46,Honda
http://xmlns.com/foaf/0.1/person_46,Mazda
http://xmlns.com/foaf/0.1/person_832,BMW
http://xmlns.com/foaf/0.1/person_832,Toyota
http://xmlns.com/foaf/0.1/person_391,Porsche
http://xmlns.com/foaf/0.1/person_391,Lamborghini
http://example.org/person_982,Mitsubishi
http://xmlns.com/foaf/0.1/person_482,Chrysler
http://example.org/person_332,Lincoln
http://example.org/person_302,Chevrolet
http://example.org/person_412,Chevrolet
http://xmlns.com/foaf/0.1/person_373,Porsche
http://xmlns.com/foaf/0.1/person_373,Nissan
http://example.org/person_123,Audi
http://example.org/person_771,Chevrolet
http://example.org/person_771,Jeep
http://xmlns.com/foaf/0.1/person_238,Audi
http://example.org/person_515,Isuzu
http://example.org/person_515,GMC
http://xmlns.com/foaf/0.1/person_954,Lincoln
http://xmlns.com/foaf/0.1/person_954,Dodge
http://xmlns.com/foaf/0.1/person_589,Chevrolet
http://xmlns.com/foaf/0.1/person_350,Acura
http://xmlns.com/foaf/0.1/person_845,Toyota
http://xmlns.com/foaf/0.1/person_329,Cadillac
http://xmlns.com/foaf/0.1/person_329,Ford
http://xmlns.com/foaf/0.1/person_212,Mitsubishi
http://xmlns.com/foaf/0.1/person_212,Lincoln
http://example.org/person_859,Suzuki
http://example.org/person_859,Honda
http://xmlns.com/foaf/0.1/person_563,Bentley
http://example.org/person_700,Mazda
http://example.org/person_700,Mazda
http://example.org/person_403,Dodge
http://xmlns.com/foaf/0.1/person_454,Mercedes-Benz
http://xmlns.com/foaf/0.1/person_273,BMW
http://example.org/person_501,Suzuki
http://example.org/person_501,Pontiac
http://example.org/person_320,Lamborghini
http://example.org/person_320,Ford
http://example.org/person_883,Oldsmobile
http://xmlns.com/foaf/0.1/person_65,Audi
http://xmlns.com/foaf/0.1/person_65,Nissan
http://xmlns.com/foaf/0.1/person_7,Porsche
http://example.org/person_58,Dodge
http://example.org/person_58,Jeep
http://example.org/person_476,Kia
http://example.org/person_476,Audi
http://example.org/person_111,Lexus
http://example.org/person_111,Chevrolet
http://xmlns.com/foaf/0.1/person_990,MINI
http://xmlns.com/foaf/0.1/person_990,Land Rover
http://example.org/person_491,BMW
http://example.org/person_491,Chrysler
