f1,f2,f3,f4
http://xmlns.com/foaf/0.1/person_495,http://example.org/person_629,http://xmlns.com/foaf/0.1/person_248,http://example.org/person_361
http://xmlns.com/foaf/0.1/person_495,http://example.org/person_629,http://xmlns.com/foaf/0.1/person_248,http://example.org/person_51
http://xmlns.com/foaf/0.1/person_495,http://example.org/person_629,http://xmlns.com/foaf/0.1/person_248,http://example.org/person_5
http://xmlns.com/foaf/0.1/person_495,http://example.org/person_233,http://xmlns.com/foaf/0.1/person_915,http://example.org/person_451
http://xmlns.com/foaf/0.1/person_495,http://example.org/person_233,http://xmlns.com/foaf/0.1/person_915,http://example.org/person_740
http://xmlns.com/foaf/0.1/person_495,http://example.org/person_233,http://xmlns.com/foaf/0.1/person_915,http://example.org/person_471
http://xmlns.com/foaf/0.1/person_495,http://example.org/person_233,http://xmlns.com/foaf/0.1/person_630,http://example.org/person_988
http://xmlns.com/foaf/0.1/person_495,http://example.org/person_233,http://xmlns.com/foaf/0.1/person_630,http://example.org/person_137
http://xmlns.com/foaf/0.1/person_495,http://example.org/person_233,http://xmlns.com/foaf/0.1/person_630,http://example.org/person_485
http://xmlns.com/foaf/0.1/person_495,http://example.org/person_233,http://xmlns.com/foaf/0.1/person_703,http://example.org/person_777
http://xmlns.com/foaf/0.1/person_495,http://example.org/person_233,http://xmlns.com/foaf/0.1/person_703,http://example.org/person_946
http://xmlns.com/foaf/0.1/person_495,http://example.org/person_233,http://xmlns.com/foaf/0.1/person_703,http://example.org/person_910
http://xmlns.com/foaf/0.1/person_495,http://example.org/person_233,http://xmlns.com/foaf/0.1/person_703,http://example.org/person_255
http://xmlns.com/foaf/0.1/person_495,http://example.org/person_233,http://xmlns.com/foaf/0.1/person_703,http://example.org/person_665
http://xmlns.com/foaf/0.1/person_495,http://example.org/person_233,http://xmlns.com/foaf/0.1/person_703,http://example.org/person_250
http://xmlns.com/foaf/0.1/person_495,http://example.org/person_267,http://xmlns.com/foaf/0.1/person_851,http://example.org/person_912
http://xmlns.com/foaf/0.1/person_495,http://example.org/person_267,http://xmlns.com/foaf/0.1/person_851,http://example.org/person_167
http://xmlns.com/foaf/0.1/person_495,http://example.org/person_267,http://xmlns.com/foaf/0.1/person_851,http://example.org/person_456
http://xmlns.com/foaf/0.1/person_495,http://example.org/person_267,http://xmlns.com/foaf/0.1/person_489,http://example.org/person_559
http://xmlns.com/foaf/0.1/person_495,http://example.org/person_267,http://xmlns.com/foaf/0.1/person_489,http://example.org/person_927
http://xmlns.com/foaf/0.1/person_734,http://example.org/person_135,http://xmlns.com/foaf/0.1/person_674,http://example.org/person_239
http://xmlns.com/foaf/0.1/person_734,http://example.org/person_560,http://xmlns.com/foaf/0.1/person_45,http://example.org/person_232
http://xmlns.com/foaf/0.1/person_734,http://example.org/person_560,http://xmlns.com/foaf/0.1/person_45,http://example.org/person_319
http://xmlns.com/foaf/0.1/person_734,http://example.org/person_560,http://xmlns.com/foaf/0.1/person_522,http://example.org/person_680
http://xmlns.com/foaf/0.1/person_734,http://example.org/person_560,http://xmlns.com/foaf/0.1/person_522,http://example.org/person_406
http://xmlns.com/foaf/0.1/person_734,http://example.org/person_560,http://xmlns.com/foaf/0.1/person_522,http://example.org/person_398
http://xmlns.com/foaf/0.1/person_734,http://example.org/person_560,http://xmlns.com/foaf/0.1/person_522,http://example.org/person_145
http://xmlns.com/foaf/0.1/person_734,http://example.org/person_560,http://xmlns.com/foaf/0.1/person_522,http://example.org/person_544
http://xmlns.com/foaf/0.1/person_734,http://example.org/person_560,http://xmlns.com/foaf/0.1/person_213,http://example.org/person_188
http://xmlns.com/foaf/0.1/person_734,http://example.org/person_560,http://xmlns.com/foaf/0.1/person_82,http://example.org/person_200
http://xmlns.com/foaf/0.1/person_734,http://example.org/person_560,http://xmlns.com/foaf/0.1/person_82,http://example.org/person_951
http://xmlns.com/foaf/0.1/person_734,http://example.org/person_560,http://xmlns.com/foaf/0.1/person_599,http://example.org/person_790
http://xmlns.com/foaf/0.1/person_734,http://example.org/person_560,http://xmlns.com/foaf/0.1/person_599,http://example.org/person_79
http://xmlns.com/foaf/0.1/person_734,http://example.org/person_560,http://xmlns.com/foaf/0.1/person_599,http://example.org/person_4
http://xmlns.com/foaf/0.1/person_734,http://example.org/person_560,http://xmlns.com/foaf/0.1/person_317,http://example.org/person_192
http://xmlns.com/foaf/0.1/person_734,http://example.org/person_560,http://xmlns.com/foaf/0.1/person_317,http://example.org/person_469
http://xmlns.com/foaf/0.1/person_734,http://example.org/person_560,http://xmlns.com/foaf/0.1/person_317,http://example.org/person_600
http://xmlns.com/foaf/0.1/person_734,http://example.org/person_560,http://xmlns.com/foaf/0.1/person_317,http://example.org/person_50
http://xmlns.com/foaf/0.1/person_734,http://example.org/person_560,http://xmlns.com/foaf/0.1/person_317,http://example.org/person_791
